period;campaign_id;amount; Shows; Clicks;Convertion
Январь;721942;10366,12;52359;130;1
Январь;84946;6404,27;63614;148;2
Январь;411922;42893,5;180436;3384;5
Январь;411923;15381,46;66161;622;1
Январь;411924;3887,56;18706;40;1
Январь;411925;40284,28;234943;2456;1
Январь;411926;26413,72;138543;1134;1
Январь;411927;7092,62;38643;187;1
Январь;411928;6124,54;20134;80;1
Январь;411929;16059,46;59145;389;1
Январь;411930;9308,61;37476;261;1
Январь;411931;20416,1;132163;1331;2
Январь;412478;17046,53;50211;424;1
Январь;412588;19776,95;55259;479;1
Январь;412736;34340,26;85850;801;1
Январь;413120;2733,19;16459;68;1
Январь;413149;14123,1;63477;302;6
Январь;413188;15315,44;70201;330;1
Январь;413322;33625,91;74181;747;1
Январь;413448;39156,73;140933;907;1
Январь;482800;23307,41883;132146;2091;1
Январь;482801;23390,84082;130606;2180;4
Февраль;482801;5103,77389;47202;572;1
Март;482801;7674,90659;5610;984;1
Январь;482802;9310,6286;52817;1112;1
Январь;482803;9051,87435;48461;1032;1
Январь;483143;16907,81015;131106;1755;1
Февраль;483143;2886,62071;27450;309;1
Январь;483145;17222,42238;119641;1914;1
Февраль;483145;2884,31194;25713;298;1
Январь;483146;16917,69623;128895;1517;2
Январь;483147;16914,88115;109224;1821;1
Февраль;483147;2887,25944;24112;288;1
Январь;483353;9229,78789;24144;404;1
Январь;483354;21193,5921;56256;796;1
Февраль;483354;4382,77257;14773;120;1
Январь;483355;8967,53625;21345;394;1
Январь;483356;8923,86133;21474;427;1
Январь;484650;18267,22;118286;1155;1
Январь;484653;28103,44;197608;2010;1
Февраль;484653;7742,29;91168;780;1
Март;484653;121903;514352;4866;1
Январь;484655;9419,82;58333;441;1
Январь;484656;9404;54470;444;1
Январь;484657;9278,08;60341;290;1
Январь;484658;20733,73;180091;965;1
Февраль;484658;4500;56591;386;1
Март;484658;127741;487818;2693;1
Январь;484659;20582,61;169884;977;1
Февраль;484659;4469,69;60536;434;1
Март;484659;128784,72;518923;3001;1
Январь;484660;20713,95;176497;945;1
Февраль;484660;4475,66;57084;369;1
Март;484660;126282,97;536937;3171;1
Январь;484661;4487,4;9914;90;1
Январь;484662;13001,77;42855;294;1
Февраль;484662;3422,2;16628;87;1
Март;484662;76014,88;100139;639;1
Январь;484663;13288,02;41893;283;1
Февраль;484663;3321,33;17929;87;1
Март;484663;73263,98;124160;726;1
Январь;484664;4062;14019;81;1
Январь;777980;21863,06;102270;935;1
Февраль;777980;8273,7;34039;174;1
Январь;781383;27215,33;100992;699;1
Февраль;781383;39538,05;125128;812;1
Январь;805774;1138571,042;6490597;215857;1
Январь;807226;707011,1333;3169454;104861;1
Январь;808126;482189,9652;1835098;29620;1
Январь;824162;29887,88;224310;1397;1
Январь;824163;31744,53;207929;1632;1
Февраль;824163;20924,2;98252;586;1
Март;824163;36125,52;214315;1271;1
Январь;824164;20663,93;76141;481;1
Февраль;824164;10473,7;57781;214;1
Январь;987843;25676,44;171136;1007;1
Январь;988759;18787,92;92822;632;1
Январь;992177;10327,07;29220;122;1
Январь;992178;3498,61;43561;34;1
